JS2gene,F.halapii_gene,F.major_gene,F.muscicola_gene,F.pepsitadii_gene,F.thermalis_gene,F.welwii_gene
rpoD_1,prnD_1,egtB_1,rsxD,bioF_1,NA,thiL
gyrA_2,ord,egtC,liaR_2,rcsC_8,NA,moaA_2
divK_2,prnD_2,metZ,tadA_1,rssB_4,NA,relA_1
cpoB_5,ssuD,proA_1,psaB_1,tylN,NA,mshA_2
mdtA_1,pstB3_1,glyQ,vapC_1,wecD,NA,infC_1
macB_2,pstA_1,bepA_1,hpf_1,ampG_1,NA,btuD_4
ybhR,sphX,araQ_1,lipB,lexA,NA,mrdA_2
ybhS,sbpA_1,apbC,tolB_2,argF,NA,hemA
ybhF,sfnC,ftsW_1,pcrA_1,lpxG,NA,tadA_1
emrA_1,yusV,kefB_1,sasA_9,kce,NA,prcA
yknY_1,yfhA,tuaD,vte5_1,ald_1,NA,grxD
mdtA_2,yfiZ,psaC,yafP,hisS,NA,sphR_1
macB_3,fetA,glmS,bphA3,yfmJ,NA,btuD_5
yknY_2,fetB_1,fpuD,ydhR,yjgH,NA,pipB2_2
gph_1,btuD_4,pcb,crtN_1,bacC_2,NA,clpS_1
queG,proC_2,isiA,yfcG_1,dapL_1,NA,rne
spoIIAB,camD_2,rssB_2,yedK,rcsC_9,NA,rnhB
rssB_1,dltA_6,sasA_9,ycf3_2,cheB_1,NA,pheA
liaR_1,lgrB_7,phoP_1,gatC,cheB_2,NA,lon2
tagA_1,noc_9,phoP_2,yqjG_1,rcsC_10,NA,rpsJ
btuD_4,soj_6,phoP_3,yyaP,gsiA_1,NA,tuf
menH_2,dltA_7,argA,natA,oxyE,NA,fusA_1
bepA_1,rmpA,petC1,nagB,msmX_1,NA,rpsG
apaH_2,rmpB,petA,der_1,srrA,NA,rpsL
vat,sasA_7,yhaV,ecfT_1,arnC_2,NA,gltS
ureE,glgX_1,hisH,hpd_1,relK,NA,dxr_1
ureF,cotA,rsmD,ppaX,yefM,NA,sdhA
tolQ_1,tal_1,petG,phoP_2,bepA_1,NA,ubiB_1
tolR_1,zwf2_1,mtnW,hisI,hemA,NA,recN
merA_1,yidA_1,hepT,hemL,ndhM,NA,cmoM_1
bshA_1,pnpB,murI,spkB_1,yhbO,NA,tolB_1
lgt_2,gdhI,nhaS3_1,recA,narB,NA,tolB_2
nrtB,ymfD,rnhA,xseA,nrtP,NA,psbX
btuD_5,tolB_3,rpmA,xseB,cmpD_1,NA,norW
rpsT,fabG_1,ribD_1,arnC_1,cmpC_1,NA,accC
dtd3,cpnA,mreB,btuD_5,nrtB_1,NA,deoC1
rpoB,macB_2,ssb,mshA_3,nrtA,NA,recO
rpoC,yfiY_2,fabG,COQ5_2,sir_1,NA,mshA_3
rpoC2,yfiY_3,tagO,opuCC,cmpR_2,NA,mftC
hisD_1,btuB_3,groL2,argD_1,trpD,NA,ppsA_1
ppk_1,lgrD_9,corA,kefB_2,glpE,NA,pmt
nreC,tycC_6,rnc_1,tal_3,rnd_1,NA,cph1_2
cheB_1,lgrB_8,iolG_1,pspA,moeZ,NA,rcp1_3
ycf3_3,lgrB_9,rcsC_6,ackA,budB,NA,sasA_5
spo0M,ectB_2,ribD_2,dxs_1,gabD1,NA,trmB
rapA_1,tycC_7,rcsC_7,tolQ_1,cpoB_5,NA,cpdA_3
pnp,panP,aldH1,tolR_1,cpoB_6,NA,acnB
emrA_2,tam_1,cph2,lpd,quiP_1,NA,pgk
btuD_6,dltA_8,yedY1_1,bshA_2,quiP_2,NA,pal_1
ubiB_1,mepA_2,rnjA,lgt_1,purK,NA,trpA_1
rutE,mbtH_3,dapA,nrtB_1,rppH,NA,ndhL
oleB,hcaB_1,asd,relA,COQ5_4,NA,typA
thiO,desA_1,tig,degU_1,merR1,NA,htrA_1
smc_2,avtA_2,clpP_2,sasA_10,susA_1,NA,potB
sodB,acpP_3,clpX,kdpA_1,ybhS_1,NA,potD
divK_3,lgrD_10,clcD,kdpB_1,btuD_4,NA,salL
upp_1,tdh_2,rpsA_1,kdpC_1,purE,NA,psbU
